id,judul,judul_asli,sinopsis,tagline,genre,genre_ids,sutradara,pemain,produksi,negara,rating,jumlah_vote,popularitas,tanggal_rilis,tahun,bahasa_asli,teks_dokumen,jumlah_kata_dokumen,jumlah_kata_sinopsis
1891,Star Wars: Episode V - The Empire Strikes Back,The Empire Strikes Back,"Kisah epik ini berlanjut saat Luke Skywalker, dengan harapan mengalahkan Kekaisaran Galaksi yang jahat, mempelajari cara-cara Jedi dari guru tua Yoda. Namun Darth Vader lebih bertekad dari sebelumnya untuk menangkap Luke. Sementara itu, pemimpin pemberontak Putri Leia, Han Solo yang sombong, Chewbacca, dan droid C-3PO dan R2-D2 dilemparkan ke berbagai tahap penangkapan, pengkhianatan, dan keputusasaan.",,"Petualangan, Aksi, Cerita Fiksi","[12, 28, 878]",Irvin Kershner,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams, Anthony Daniels",Lucasfilm Ltd.,United States of America,8.4,18377,13.3841,1980-05-20,1980,en,"Judul film Star Wars: Episode V - The Empire Strikes Back. Genre film ini adalah Petualangan, Aksi, Cerita Fiksi. Kisah epik ini berlanjut saat Luke Skywalker, dengan harapan mengalahkan Kekaisaran Galaksi yang jahat, mempelajari cara-cara Jedi dari guru tua Yoda. Namun Darth Vader lebih bertekad dari sebelumnya untuk menangkap Luke. Sementara itu, pemimpin pemberontak Putri Leia, Han Solo yang sombong, Chewbacca, dan droid C-3PO dan R2-D2 dilemparkan ke berbagai tahap penangkapan, pengkhianatan, dan keputusasaan. Disutradarai oleh Irvin Kershner. Dibintangi oleh Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams, Anthony Daniels. Diproduksi oleh Lucasfilm Ltd.. Negara produksi: United States of America.",101,55
263115,Logan,Logan,"Pada tahun 2024, Logan (Hugh Jackman) dan Profesor Charles Xavier (Patrick Stewart) harus bertahan tanpa X-Men ketika perusahaan yang dipimpin oleh Nathaniel Essex menghancurkan dunia. Keadaan menjadi semakin rumit dengan kemampuan regenerasi mutan logan yang mulai menghilang dan Xavier yang menderita Alzheimer. Logan harus mengalahkan Nathaniel Essex dengan bantuan seorang anak perempuan bernama Laura Kinney yang merupakan hasil kloning dari Wolverine",,"Aksi, Drama, Cerita Fiksi","[28, 18, 878]",James Mangold,"Hugh Jackman, Dafne Keen, Patrick Stewart, Elizabeth Rodriguez, Boyd Holbrook","Hutch Parker Entertainment, The Donners' Company, Genre Films",United States of America,7.8,20368,13.3836,2017-02-28,2017,en,"Judul film Logan. Genre film ini adalah Aksi, Drama, Cerita Fiksi. Pada tahun 2024, Logan (Hugh Jackman) dan Profesor Charles Xavier (Patrick Stewart) harus bertahan tanpa X-Men ketika perusahaan yang dipimpin oleh Nathaniel Essex menghancurkan dunia. Keadaan menjadi semakin rumit dengan kemampuan regenerasi mutan logan yang mulai menghilang dan Xavier yang menderita Alzheimer. Logan harus mengalahkan Nathaniel Essex dengan bantuan seorang anak perempuan bernama Laura Kinney yang merupakan hasil kloning dari Wolverine Disutradarai oleh James Mangold. Dibintangi oleh Hugh Jackman, Dafne Keen, Patrick Stewart, Elizabeth Rodriguez, Boyd Holbrook. Diproduksi oleh Hutch Parker Entertainment, The Donners' Company, Genre Films. Negara produksi: United States of America.",104,61
329865,Arrival,Arrival,"Film ini diadaptasi dari novel berjudul sama karya Ted Chiang. Cerita aslinya berputar pada peristiwa mendaratnya alien di seluruh dunia. Dari peristiwa itu, seorang ahli bahasa (Amy Adams) direkrut oleh pemerintah AS untuk mengetahui niat dari kedatangan alien tersebut di Bumi. Saat dia berusaha untuk berkomunikasi dengan alien tersebut, dia menemukan rahasia yang menjadi kunci untuk membuka misteri besar tentang tujuan sebenarnya dari kunjungan mereka.",Kenapa mereka kemari?,"Drama, Cerita Fiksi, Misteri","[18, 878, 9648]",Denis Villeneuve,"Amy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg, Mark O'Brien","FilmNation Entertainment, Lava Bear Films, 21 Laps Entertainment",United States of America,7.626,19308,13.331,2016-11-10,2016,en,"Judul film Arrival. Genre film ini adalah Drama, Cerita Fiksi, Misteri. Film ini diadaptasi dari novel berjudul sama karya Ted Chiang. Cerita aslinya berputar pada peristiwa mendaratnya alien di seluruh dunia. Dari peristiwa itu, seorang ahli bahasa (Amy Adams) direkrut oleh pemerintah AS untuk mengetahui niat dari kedatangan alien tersebut di Bumi. Saat dia berusaha untuk berkomunikasi dengan alien tersebut, dia menemukan rahasia yang menjadi kunci untuk membuka misteri besar tentang tujuan sebenarnya dari kunjungan mereka. Tagline: Kenapa mereka kemari?. Disutradarai oleh Denis Villeneuve. Dibintangi oleh Amy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg, Mark O'Brien. Diproduksi oleh FilmNation Entertainment, Lava Bear Films, 21 Laps Entertainment. Negara produksi: United States of America.",112,65
260514,Cars 3,Cars 3,"Dikejutkan oleh generasi baru pembalap yang sangat cepat, Lightning McQueen yang legendaris tiba-tiba tersingkir dari olahraga yang dicintainya. Untuk kembali ke permainan, ia akan membutuhkan bantuan seorang teknisi balap muda yang bersemangat dengan rencananya sendiri untuk menang, inspirasi dari mendiang Hudson Hornet yang Luar Biasa, dan beberapa tikungan yang tak terduga. Membuktikan bahwa #95 belum selesai akan menguji hati seorang juara di panggung terbesar Piston Cup Racing!",,"Animasi, Drama, Keluarga","[16, 18, 10751]",Brian Fee,"Owen Wilson, Cristela Alonzo, Chris Cooper, Nathan Fillion, Larry the Cable Guy",Pixar,United States of America,6.858,6374,12.8415,2017-06-15,2017,en,"Judul film Cars 3. Genre film ini adalah Animasi, Drama, Keluarga. Dikejutkan oleh generasi baru pembalap yang sangat cepat, Lightning McQueen yang legendaris tiba-tiba tersingkir dari olahraga yang dicintainya. Untuk kembali ke permainan, ia akan membutuhkan bantuan seorang teknisi balap muda yang bersemangat dengan rencananya sendiri untuk menang, inspirasi dari mendiang Hudson Hornet yang Luar Biasa, dan beberapa tikungan yang tak terduga. Membuktikan bahwa #95 belum selesai akan menguji hati seorang juara di panggung terbesar Piston Cup Racing! Disutradarai oleh Brian Fee. Dibintangi oleh Owen Wilson, Cristela Alonzo, Chris Cooper, Nathan Fillion, Larry the Cable Guy. Diproduksi oleh Pixar. Negara produksi: United States of America.",105,67
343611,Jack Reacher: Never Go Back,Jack Reacher: Never Go Back,"Mengambil setting empat tahun setelah petualangan di film pertama. Jack Reacher (Tom Cruise) kembali ke markas dari unit ia dulu bekerja. Namun disana, ia dituduh terlibat atas pembunuhan yang terjadi 16 tahun yang lalu. Ia juga menemukan bahwa atasannya terdahulu, Susan Turner (Cobie Smulders), ditangkap atas tuduhan pengkhianatan.  Yakin bahwa atasannya tidak bersalah, Jack berniat untuk membebaskan Susan dari penjara, dan mengungkap kebenaran dibalik konspirasi pemerintah yang melibatkan mereka. Dalam pelarian, Jack baru mengetahui kalau ia hanyalah bagian kecil dari sebuah rahasia besar, yang berhubungan dengan masa lalunya.","Jangan mengalah, jangan menyerah, jangan kembali.","Aksi, Cerita Seru, Drama, Kejahatan","[28, 53, 18, 80]",Edward Zwick,"Tom Cruise, Cobie Smulders, Danika Yarosh, Aldis Hodge, Patrick Heusinger","Skydance Media, Huahua Media, Shanghai Film Group","China, United States of America",6.012,5321,12.6417,2016-10-19,2016,en,"Judul film Jack Reacher: Never Go Back. Genre film ini adalah Aksi, Cerita Seru, Drama, Kejahatan. Mengambil setting empat tahun setelah petualangan di film pertama. Jack Reacher (Tom Cruise) kembali ke markas dari unit ia dulu bekerja. Namun disana, ia dituduh terlibat atas pembunuhan yang terjadi 16 tahun yang lalu. Ia juga menemukan bahwa atasannya terdahulu, Susan Turner (Cobie Smulders), ditangkap atas tuduhan pengkhianatan.  Yakin bahwa atasannya tidak bersalah, Jack berniat untuk membebaskan Susan dari penjara, dan mengungkap kebenaran dibalik konspirasi pemerintah yang melibatkan mereka. Dalam pelarian, Jack baru mengetahui kalau ia hanyalah bagian kecil dari sebuah rahasia besar, yang berhubungan dengan masa lalunya. Tagline: Jangan mengalah, jangan menyerah, jangan kembali.. Disutradarai oleh Edward Zwick. Dibintangi oleh Tom Cruise, Cobie Smulders, Danika Yarosh, Aldis Hodge, Patrick Heusinger. Diproduksi oleh Skydance Media, Huahua Media, Shanghai Film Group. Negara produksi: China, United States of America.",143,88
3933,Corpse Bride,Corpse Bride,"Aksinya berlangsung di sebuah desa Eropa pada abad ke-19. Tokoh utama, seorang pemuda bernama Victor, diseret ke dunia bawah oleh kekuatan kegelapan dan dinikahkan di sana dengan Pengantin Mayat yang misterius, sementara pengantin perempuannya yang sebenarnya, Victoria, menanti pengantin prianya di dunia orang hidup. Meskipun kenyataan bahwa tinggal di Kerajaan Orang Mati ternyata jauh lebih menarik daripada gaya hidup Victoria yang biasa ia jalani, Victor memahami bahwa ia tidak akan menukar satu-satunya cintanya dengan apa pun di dunia alternatif mana pun...",,"Percintaan, Fantasi, Animasi","[10749, 14, 16]","Tim Burton, Mike Johnson","Johnny Depp, Helena Bonham Carter, Emily Watson, Tracey Ullman, Paul Whitehouse","Tim Burton Productions, LAIKA, Patalex Productions","United Kingdom, United States of America",7.587,10158,12.5886,2005-09-12,2005,en,"Judul film Corpse Bride. Genre film ini adalah Percintaan, Fantasi, Animasi. Aksinya berlangsung di sebuah desa Eropa pada abad ke-19. Tokoh utama, seorang pemuda bernama Victor, diseret ke dunia bawah oleh kekuatan kegelapan dan dinikahkan di sana dengan Pengantin Mayat yang misterius, sementara pengantin perempuannya yang sebenarnya, Victoria, menanti pengantin prianya di dunia orang hidup. Meskipun kenyataan bahwa tinggal di Kerajaan Orang Mati ternyata jauh lebih menarik daripada gaya hidup Victoria yang biasa ia jalani, Victor memahami bahwa ia tidak akan menukar satu-satunya cintanya dengan apa pun di dunia alternatif mana pun... Disutradarai oleh Tim Burton, Mike Johnson. Dibintangi oleh Johnny Depp, Helena Bonham Carter, Emily Watson, Tracey Ullman, Paul Whitehouse. Diproduksi oleh Tim Burton Productions, LAIKA, Patalex Productions. Negara produksi: United Kingdom, United States of America.",127,81
166426,Pirates of the Caribbean: Salazar's Revenge,Pirates of the Caribbean: Dead Men Tell No Tales,"Kapten Jack Sparrow diburu oleh rivalnya, Kapten Salazar, bersama sepasukan awak hantu yang telah meloloskan diri dari Devil's Triangle, yang bernafsu untuk membunuh setiap bajak laut yang ada. Jack mencari Trident of Poseidon, benda peninggalan masa lampau yang dapat memberinya kekuatan untuk menguasai seluruh lautan, sebagai satu-satunya cara untuk mengalahkan Salazar.",,"Petualangan, Aksi, Fantasi","[12, 28, 14]","Espen Sandberg, Joachim Rønning","Johnny Depp, Javier Bardem, Geoffrey Rush, Brenton Thwaites, Kaya Scodelario","Walt Disney Pictures, Jerry Bruckheimer Films, Infinitum Nihil",United States of America,6.656,12783,12.4955,2017-05-23,2017,en,"Judul film Pirates of the Caribbean: Salazar's Revenge. Genre film ini adalah Petualangan, Aksi, Fantasi. Kapten Jack Sparrow diburu oleh rivalnya, Kapten Salazar, bersama sepasukan awak hantu yang telah meloloskan diri dari Devil's Triangle, yang bernafsu untuk membunuh setiap bajak laut yang ada. Jack mencari Trident of Poseidon, benda peninggalan masa lampau yang dapat memberinya kekuatan untuk menguasai seluruh lautan, sebagai satu-satunya cara untuk mengalahkan Salazar. Disutradarai oleh Espen Sandberg, Joachim Rønning. Dibintangi oleh Johnny Depp, Javier Bardem, Geoffrey Rush, Brenton Thwaites, Kaya Scodelario. Diproduksi oleh Walt Disney Pictures, Jerry Bruckheimer Films, Infinitum Nihil. Negara produksi: United States of America.",100,51
451048,Jungle Cruise,Jungle Cruise,"Kisah berawal dari kapten kapal bernama Frank yang berkharisma. Ia berjumpa dengan Lily, salah satu penjelajah yang sedang berpetualang menghadapi misi yakni menemukan kebenaran soal pohon yang memiliki kekuatan penyembuh segalanya.  Sayangnya, ia harus segera menemukan pohon tersebut. Jika jatuh ke tangan yang salah, pohon tersebut akan dimanfaatkan untuk membangkitkan kekuatan jahat di muka bumi  Frank yang awalnya tak percaya kemudian menemukan beberapa fakta soal keajaiban tersebut. Keduanya pun bersatu dalam petualangan yang menantang.",,"Fantasi, Petualangan, Aksi","[14, 12, 28]",Jaume Collet-Serra,"Dwayne Johnson, Emily Blunt, Edgar Ramírez, Jack Whitehall, Jesse Plemons","Walt Disney Pictures, Seven Bucks Productions, Davis Entertainment",United States of America,7.293,6157,12.3474,2021-07-28,2021,en,"Judul film Jungle Cruise. Genre film ini adalah Fantasi, Petualangan, Aksi. Kisah berawal dari kapten kapal bernama Frank yang berkharisma. Ia berjumpa dengan Lily, salah satu penjelajah yang sedang berpetualang menghadapi misi yakni menemukan kebenaran soal pohon yang memiliki kekuatan penyembuh segalanya.  Sayangnya, ia harus segera menemukan pohon tersebut. Jika jatuh ke tangan yang salah, pohon tersebut akan dimanfaatkan untuk membangkitkan kekuatan jahat di muka bumi  Frank yang awalnya tak percaya kemudian menemukan beberapa fakta soal keajaiban tersebut. Keduanya pun bersatu dalam petualangan yang menantang. Disutradarai oleh Jaume Collet-Serra. Dibintangi oleh Dwayne Johnson, Emily Blunt, Edgar Ramírez, Jack Whitehall, Jesse Plemons. Diproduksi oleh Walt Disney Pictures, Seven Bucks Productions, Davis Entertainment. Negara produksi: United States of America.",117,74
497698,Black Widow,Black Widow,"Dalam film ini akan diceritakan tentang Natasha Romanoff dan Yelena Belova yang merupakan saudara. Pada tahun 1995, saat Natasha dan Yelena masih muda, mereka dibawa pergi oleh orang tua pengganti mereka—Alexei Shostakov yang merupakan seorang tentara atau dikenal sebagai Red Guardian dan Melina Vostokoff sebagai agen rahasia serta mantan Black Widow. Keduanya merupakan agen rahasia yang menyamar sebagai pasangan suami istri untuk menjalankan misi. Mereka kabur dari rumahnya di Ohio setelah menyelesaikan misi mereka. Mereka melarikan diri ke Kuba, kemudian Natasha dan Yelena ditempatkan di Red Room yang merupakan kamp pelatihan rahasia Soviet untuk pelatihan lebih lanjut sebagai agen rahasia dan pembunuh untuk program rahasia KGB. Selain dilatih sebagai agen rahasia dan pembunuh,",,"Aksi, Petualangan, Cerita Fiksi","[28, 12, 878]",Cate Shortland,"Scarlett Johansson, Florence Pugh, Rachel Weisz, David Harbour, Ray Winstone",Marvel Studios,United States of America,7.169,11223,12.2875,2021-07-07,2021,en,"Judul film Black Widow. Genre film ini adalah Aksi, Petualangan, Cerita Fiksi. Dalam film ini akan diceritakan tentang Natasha Romanoff dan Yelena Belova yang merupakan saudara. Pada tahun 1995, saat Natasha dan Yelena masih muda, mereka dibawa pergi oleh orang tua pengganti mereka—Alexei Shostakov yang merupakan seorang tentara atau dikenal sebagai Red Guardian dan Melina Vostokoff sebagai agen rahasia serta mantan Black Widow. Keduanya merupakan agen rahasia yang menyamar sebagai pasangan suami istri untuk menjalankan misi. Mereka kabur dari rumahnya di Ohio setelah menyelesaikan misi mereka. Mereka melarikan diri ke Kuba, kemudian Natasha dan Yelena ditempatkan di Red Room yang merupakan kamp pelatihan rahasia Soviet untuk pelatihan lebih lanjut sebagai agen rahasia dan pembunuh untuk program rahasia KGB. Selain dilatih sebagai agen rahasia dan pembunuh, Disutradarai oleh Cate Shortland. Dibintangi oleh Scarlett Johansson, Florence Pugh, Rachel Weisz, David Harbour, Ray Winstone. Diproduksi oleh Marvel Studios. Negara produksi: United States of America.",151,113
102651,Maleficent,Maleficent,"Seorang wanita muda yang cantik dan berhati murni, Maleficent memiliki kehidupan yang indah tumbuh di kerajaan hutan yang damai, sampai suatu hari ketika tentara menyerang mengancam keharmonisan tanah. Maleficent naik menjadi pelindung paling ganas di negeri itu, tetapi dia akhirnya mengalami pengkhianatan yang kejam – suatu tindakan yang mulai mengubah hatinya menjadi batu. Bertekad untuk membalas dendam, Maleficent menghadapi pertempuran epik dengan penerus Raja yang menyerang dan, sebagai hasilnya, mengutuk bayi Aurora yang baru lahir. Saat anak itu tumbuh, Maleficent menyadari bahwa Aurora memegang kunci perdamaian di kerajaan – dan kebahagiaan sejati Maleficent juga.",,"Fantasi, Petualangan, Aksi, Keluarga, Percintaan","[14, 12, 28, 10751, 10749]",Robert Stromberg,"Angelina Jolie, Elle Fanning, Imelda Staunton, Sharlto Copley, Lesley Manville","Walt Disney Pictures, Roth Films",United States of America,7.087,13705,12.2614,2014-05-28,2014,en,"Judul film Maleficent. Genre film ini adalah Fantasi, Petualangan, Aksi, Keluarga, Percintaan. Seorang wanita muda yang cantik dan berhati murni, Maleficent memiliki kehidupan yang indah tumbuh di kerajaan hutan yang damai, sampai suatu hari ketika tentara menyerang mengancam keharmonisan tanah. Maleficent naik menjadi pelindung paling ganas di negeri itu, tetapi dia akhirnya mengalami pengkhianatan yang kejam – suatu tindakan yang mulai mengubah hatinya menjadi batu. Bertekad untuk membalas dendam, Maleficent menghadapi pertempuran epik dengan penerus Raja yang menyerang dan, sebagai hasilnya, mengutuk bayi Aurora yang baru lahir. Saat anak itu tumbuh, Maleficent menyadari bahwa Aurora memegang kunci perdamaian di kerajaan – dan kebahagiaan sejati Maleficent juga. Disutradarai oleh Robert Stromberg. Dibintangi oleh Angelina Jolie, Elle Fanning, Imelda Staunton, Sharlto Copley, Lesley Manville. Diproduksi oleh Walt Disney Pictures, Roth Films. Negara produksi: United States of America.",135,94
402,Basic Instinct,Basic Instinct,"Basic Instinct adalah film bergenre detektif yang dibumbui dengan unsur misteri, thriller, klasik, dan erotisme. Film garapan sutradara Paul Verhoeven ini dibintangi oleh Sharon Stone, Michael Douglas, George Dzundza, dan Jeanne. Sejak dirilis pada tahun 1992, film ini menjadi salah satu film paling kontroversial hingga 1993. Bahkan pada awal tahun 2000 masih ramai diperbincangkan karena saat itu Sharon Stone sedang naik daun, ditambah beberapa potongan adegan yang tergolong pana",,"Cerita Seru, Misteri","[53, 9648]",Paul Verhoeven,"Michael Douglas, Sharon Stone, George Dzundza, Jeanne Tripplehorn, Denis Arndt","Carolco Pictures, Le Studio Canal+","United States of America, France",6.945,4361,12.1401,1992-03-20,1992,en,"Judul film Basic Instinct. Genre film ini adalah Cerita Seru, Misteri. Basic Instinct adalah film bergenre detektif yang dibumbui dengan unsur misteri, thriller, klasik, dan erotisme. Film garapan sutradara Paul Verhoeven ini dibintangi oleh Sharon Stone, Michael Douglas, George Dzundza, dan Jeanne. Sejak dirilis pada tahun 1992, film ini menjadi salah satu film paling kontroversial hingga 1993. Bahkan pada awal tahun 2000 masih ramai diperbincangkan karena saat itu Sharon Stone sedang naik daun, ditambah beberapa potongan adegan yang tergolong pana Disutradarai oleh Paul Verhoeven. Dibintangi oleh Michael Douglas, Sharon Stone, George Dzundza, Jeanne Tripplehorn, Denis Arndt. Diproduksi oleh Carolco Pictures, Le Studio Canal+. Negara produksi: United States of America, France.",110,69
384018,Fast & Furious Presents: Hobbs & Shaw,Fast & Furious Presents: Hobbs & Shaw,Hobbs & Shaw cinema film baru barat yang sangat seru Ini bercerita Luke Hobbs terpaksa membentuk aliansi yang mustahil dengan Deckard Shaw. Keduanya terpaksa bersatu membantu Hattie Shaw untuk memburu senjata virus berbahaya dan Brixton. Brixton adalah penjahat jenis baru yang berhasil mengubah dirinya menjadi manusia super. Keberadaanya menjadi ancaman bagi umat manusia.,,"Aksi, Petualangan, Komedi","[28, 12, 35]",David Leitch,"Dwayne Johnson, Jason Statham, Idris Elba, Vanessa Kirby, Helen Mirren","Chris Morgan Productions, Seven Bucks Productions, Universal Pictures",United States of America,6.832,7741,11.7912,2019-07-31,2019,en,"Judul film Fast & Furious Presents: Hobbs & Shaw. Genre film ini adalah Aksi, Petualangan, Komedi. Hobbs & Shaw cinema film baru barat yang sangat seru Ini bercerita Luke Hobbs terpaksa membentuk aliansi yang mustahil dengan Deckard Shaw. Keduanya terpaksa bersatu membantu Hattie Shaw untuk memburu senjata virus berbahaya dan Brixton. Brixton adalah penjahat jenis baru yang berhasil mengubah dirinya menjadi manusia super. Keberadaanya menjadi ancaman bagi umat manusia. Disutradarai oleh David Leitch. Dibintangi oleh Dwayne Johnson, Jason Statham, Idris Elba, Vanessa Kirby, Helen Mirren. Diproduksi oleh Chris Morgan Productions, Seven Bucks Productions, Universal Pictures. Negara produksi: United States of America.",101,53
284052,Doctor Strange,Doctor Strange,"Hidup Stephen Vincent Strange (Benedict Cumberbatch), seorang doktor bedah yang pintar namun sombong, mendadak berubah drastis. Sebuah kecelakaan mobil membuat kemampuan tangannya menjadi sangat terbatas. Bertekad untuk menyembuhkan kondisinya, ia pun berpetualang mencari obat untuk memulihkan tangannya.  Perjalanan tersebut mempertemukan sang doktor bedah dengan penyihir bernama The Ancient One (Tilda Swinton), yang kemudian mengangkat Strange menjadi murid, dengan tujuan menjadikan ia sebagai pelindung alam manusia. Kali ini Strange harus mengesampingkan egonya, dan menggunakan segala kemampuannya untuk menjadi perantara antara dimensi manusia dan dimensi lain.",,"Fantasi, Petualangan, Aksi","[14, 12, 28]",Scott Derrickson,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong, Mads Mikkelsen",Marvel Studios,United States of America,7.42,23402,11.7313,2016-10-25,2016,en,"Judul film Doctor Strange. Genre film ini adalah Fantasi, Petualangan, Aksi. Hidup Stephen Vincent Strange (Benedict Cumberbatch), seorang doktor bedah yang pintar namun sombong, mendadak berubah drastis. Sebuah kecelakaan mobil membuat kemampuan tangannya menjadi sangat terbatas. Bertekad untuk menyembuhkan kondisinya, ia pun berpetualang mencari obat untuk memulihkan tangannya.  Perjalanan tersebut mempertemukan sang doktor bedah dengan penyihir bernama The Ancient One (Tilda Swinton), yang kemudian mengangkat Strange menjadi murid, dengan tujuan menjadikan ia sebagai pelindung alam manusia. Kali ini Strange harus mengesampingkan egonya, dan menggunakan segala kemampuannya untuk menjadi perantara antara dimensi manusia dan dimensi lain. Disutradarai oleh Scott Derrickson. Dibintangi oleh Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong, Mads Mikkelsen. Diproduksi oleh Marvel Studios. Negara produksi: United States of America.",121,84
420818,The Lion King,The Lion King,"Simba mengidolakan ayahnya, Raja Mufasa, dan mengambil hati takdir kerajaannya sendiri. Tetapi tidak semua orang di kerajaan itu merayakan kedatangan anaknya yang baru. Scar, saudara lelaki Mufasa — dan mantan pewaris takhta — memiliki rencana sendiri. Pertempuran untuk Pride Rock dirusak dengan pengkhianatan, tragedi dan drama, yang akhirnya mengakibatkan pengasingan Simba. Dengan bantuan dari sepasang teman baru yang penasaran, Simba harus mencari cara untuk tumbuh dan mengambil kembali apa yang menjadi haknya.",,"Petualangan, Drama, Keluarga, Animasi","[12, 18, 10751, 16]",Jon Favreau,"Chiwetel Ejiofor, John Oliver, Donald Glover, James Earl Jones, John Kani","Walt Disney Pictures, Fairview Entertainment",United States of America,7.098,10731,11.7105,2019-07-12,2019,en,"Judul film The Lion King. Genre film ini adalah Petualangan, Drama, Keluarga, Animasi. Simba mengidolakan ayahnya, Raja Mufasa, dan mengambil hati takdir kerajaannya sendiri. Tetapi tidak semua orang di kerajaan itu merayakan kedatangan anaknya yang baru. Scar, saudara lelaki Mufasa — dan mantan pewaris takhta — memiliki rencana sendiri. Pertempuran untuk Pride Rock dirusak dengan pengkhianatan, tragedi dan drama, yang akhirnya mengakibatkan pengasingan Simba. Dengan bantuan dari sepasang teman baru yang penasaran, Simba harus mencari cara untuk tumbuh dan mengambil kembali apa yang menjadi haknya. Disutradarai oleh Jon Favreau. Dibintangi oleh Chiwetel Ejiofor, John Oliver, Donald Glover, James Earl Jones, John Kani. Diproduksi oleh Walt Disney Pictures, Fairview Entertainment. Negara produksi: United States of America.",115,72
616037,Thor: Cinta dan Guntur,Thor: Love and Thunder,"""Thor: Love and Thunder""menceritakan Thor (Chris Hemsworth) dalam sebuah perjalanan yang belum pernah ia jalani – pencariankedamaian batin. Namun, masa pensiunnya terganggu oleh seorang pembunuh galaksi yang dikenal sebagai Gorr sang Dewa Jagal (Christian Bale), yang ingin memusnahkan para dewa. Untuk mengatasi ancaman, Thor meminta bantuan Raja Valkyrie (Tessa Thompson), Korg (Taika Waititi), dan mantan kekasihnya Jane Foster (Natalie Portman), yang secara mengejutkan dan misterius berhasil menggunakan palu ajaibnya, Mjolnir, sebagai Mighty Thor. Bersama, mereka memulai petualangan kosmik yang mendebarkan untuk mengungkap misteri pembalasan Dewa Jagal dan menghentikannya sebelum terlambat.",Yang satu ini bukan satu-satunya.,"Fantasi, Aksi, Komedi","[14, 28, 35]",Taika Waititi,"Chris Hemsworth, Natalie Portman, Christian Bale, Tessa Thompson, Taika Waititi","Marvel Studios, Kevin Feige Productions",United States of America,6.369,8542,11.7012,2022-07-06,2022,en,"Judul film Thor: Cinta dan Guntur. Genre film ini adalah Fantasi, Aksi, Komedi. ""Thor: Love and Thunder""menceritakan Thor (Chris Hemsworth) dalam sebuah perjalanan yang belum pernah ia jalani – pencariankedamaian batin. Namun, masa pensiunnya terganggu oleh seorang pembunuh galaksi yang dikenal sebagai Gorr sang Dewa Jagal (Christian Bale), yang ingin memusnahkan para dewa. Untuk mengatasi ancaman, Thor meminta bantuan Raja Valkyrie (Tessa Thompson), Korg (Taika Waititi), dan mantan kekasihnya Jane Foster (Natalie Portman), yang secara mengejutkan dan misterius berhasil menggunakan palu ajaibnya, Mjolnir, sebagai Mighty Thor. Bersama, mereka memulai petualangan kosmik yang mendebarkan untuk mengungkap misteri pembalasan Dewa Jagal dan menghentikannya sebelum terlambat. Tagline: Yang satu ini bukan satu-satunya.. Disutradarai oleh Taika Waititi. Dibintangi oleh Chris Hemsworth, Natalie Portman, Christian Bale, Tessa Thompson, Taika Waititi. Diproduksi oleh Marvel Studios, Kevin Feige Productions. Negara produksi: United States of America.",138,90
527774,Raya and the Last Dragon,Raya and the Last Dragon,"Dahulu kala, di dunia fantasi Kumandra, manusia dan naga hidup bersama secara harmonis. Tetapi ketika kekuatan jahat mengancam negeri itu, para naga mengorbankan diri mereka untuk menyelamatkan umat manusia. Sekarang, 500 tahun kemudian, kejahatan yang sama telah kembali dan terserah seorang pejuang tunggal, Raya, untuk melacak naga terakhir yang legendaris untuk memulihkan tanah yang retak dan orang-orangnya yang terpecah.",sebuah kepercayaan dapat menyelamatkan dunia,"Animasi, Aksi, Petualangan, Fantasi, Keluarga","[16, 28, 12, 14, 10751]","Don Hall, Carlos López Estrada","Kelly Marie Tran, Awkwafina, Gemma Chan, Alan Tudyk, Izaac Wang",Walt Disney Animation Studios,United States of America,7.801,7282,11.6925,2021-03-03,2021,en,"Judul film Raya and the Last Dragon. Genre film ini adalah Animasi, Aksi, Petualangan, Fantasi, Keluarga. Dahulu kala, di dunia fantasi Kumandra, manusia dan naga hidup bersama secara harmonis. Tetapi ketika kekuatan jahat mengancam negeri itu, para naga mengorbankan diri mereka untuk menyelamatkan umat manusia. Sekarang, 500 tahun kemudian, kejahatan yang sama telah kembali dan terserah seorang pejuang tunggal, Raya, untuk melacak naga terakhir yang legendaris untuk memulihkan tanah yang retak dan orang-orangnya yang terpecah. Tagline: sebuah kepercayaan dapat menyelamatkan dunia. Disutradarai oleh Don Hall, Carlos López Estrada. Dibintangi oleh Kelly Marie Tran, Awkwafina, Gemma Chan, Alan Tudyk, Izaac Wang. Diproduksi oleh Walt Disney Animation Studios. Negara produksi: United States of America.",112,59
